Scheme,Phase,Security parameter n,Mean (ms),Std Dev
L-CLSS,Key Generation,128,7.84712,0.2384
L-CLSS,Key Generation,256,31.39333,1.13508
L-CLSS,Key Generation,512,125.03659,5.155926
L-CLSS,Key Generation,768,281.48056,8.237928
L-CLSS,Key Generation,1024,498.14378,16.342315
NTRU-IBLRSCS,Key Generation,128,6.79449,0.344995
NTRU-IBLRSCS,Key Generation,256,19.19748,0.980926
NTRU-IBLRSCS,Key Generation,512,54.16276,2.21074
NTRU-IBLRSCS,Key Generation,768,100.41701,4.216832
NTRU-IBLRSCS,Key Generation,1024,156.92315,7.713245
MLCLOOSC,Key Generation,128,5.29915,0.270443
MLCLOOSC,Key Generation,256,12.97837,0.750879
MLCLOOSC,Key Generation,512,32.31285,1.310238
MLCLOOSC,Key Generation,768,54.09789,3.379074
MLCLOOSC,Key Generation,1024,79.77646,3.668996
PQSCAAS (Ours),Key Generation,128,0.00599,0.000165
PQSCAAS (Ours),Key Generation,256,0.01373,0.000316
PQSCAAS (Ours),Key Generation,512,0.03173,0.000862
PQSCAAS (Ours),Key Generation,768,0.0512,0.001313
PQSCAAS (Ours),Key Generation,1024,0.07262,0.001659
